Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,ATR,ADX
May 27-2013,15397.25,0.85,15397.25,15397.25,False,15397.25,15397.25,False,0.0,0.0,231.20000000000076,0
May 28-2013,15382.15,-0.1,15397.25,15397.25,False,15397.25,15397.25,False,0.0,-16.300000000001088,223.05000000000018,100.0
May 29-2013,15141.05,-1.57,15389.7,15389.7,False,15389.7,15389.7,False,-2.0,319.10000000000036,326.0333333333335,101.26143172500788
May 30-2013,15005.45,-0.9,15306.816666666666,15306.816666666666,False,15306.816666666666,15306.816666666666,False,-208.0,16.0,329.5250000000001,116.66666666666667
May 31-2013,14895.1,-0.74,15231.475,15231.475,False,15231.475,15231.475,False,-60.0,28.899999999999643,325.4,285.85209003214993
Jun 03-2013,15032.8,0.92,15164.2,15164.2,False,15164.2,15164.2,False,-42.0,65.70000000000073,326.6000000000001,454.43037974682454
Jun 04-2013,15169.35,0.91,15142.3,15142.3,False,4334.0999999999985,15142.3,False,284.0,-114.85000000000036,351.6214285714286,235.7966302098736
Jun 05-2013,15274.7,0.69,15146.164285714287,15146.164285714287,False,7459.9857142857145,15146.164285714287,False,-72.0,-129.75,345.16875000000005,28.624535315985128
Jun 06-2013,15200.6,-0.49,15162.23125,15162.23125,False,9671.589795918368,15162.23125,False,-40.0,-58.0,329.2611111111112,18.367346938775512
Jun 07-2013,14992.35,-1.37,15166.494444444446,15166.494444444446,False,11191.806997084548,15166.494444444446,False,49.899999999999636,180.0,339.525,56.58982166159225
Jun 10-2013,14752.35,-1.6,15149.080000000002,15149.080000000002,False,12209.104997917531,15149.080000000002,False,-149.8999999999996,207.0,353.1136363636364,625.0437828371229
Jun 11-2013,14460.2,-1.98,15113.01363636364,15113.01363636364,False,12852.274998512525,15113.01363636364,False,-490.20000000000067,366.0,354.0874999999999,689.3719806763254
Jun 12-2013,14677.7,1.5,15058.612500000005,15058.612500000005,False,13373.824998937516,15058.612500000005,False,55.65000000000146,-45.0,355.7307692307692,945.0704225350952
Jun 13-2013,14331.35,-2.36,15029.311538461541,15029.311538461541,False,13647.403570669656,15029.311538461541,False,-206.45000000000076,142.8999999999996,352.59999999999997,549.7246262785116
Jun 14-2013,14311.9,-0.14,14979.457142857149,14979.457142857149,False,13837.259693335469,14979.457142857149,False,-0.0499999999992724,44.10000000000037,352.8233333333334,333.9475265212798
Jun 17-2013,14298.1,-0.1,14934.953333333335,14934.953333333335,False,13968.928352382478,14934.953333333335,False,-168.95000000000073,67.64999999999964,354.3866666666666,417.3382455805253
Jun 18-2013,14164.75,-0.93,14895.15,14895.15,False,14024.877394558911,14895.15,False,-5.25,85.35000000000036,362.37666666666667,464.8662546662122
Jun 19-2013,14109.15,-0.39,14852.18529411765,14852.18529411765,False,14048.955281827793,14852.18529411765,False,-119.75,40.0,343.90999999999997,481.656780397585
