Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,TR
May 27-2013,15397.25,0.85,15397.25,15397.25,False,15397.25,15397.25,False,0,0,231.20000000000073
May 28-2013,15382.15,-0.1,15397.25,15397.25,False,15397.25,15397.25,False,0.0,-16.30000000000109,214.89999999999964
May 29-2013,15141.05,-1.57,15389.7,15389.7,False,15389.7,15389.7,False,-2.0,319.10000000000036,532.0
May 30-2013,15005.45,-0.9,15306.816666666666,15306.816666666666,False,15306.816666666666,15306.816666666666,False,-208.0,16.0,340.0
May 31-2013,14895.1,-0.74,15231.474999999999,15231.474999999999,False,15231.474999999999,15231.474999999999,False,-60.0,28.899999999999636,308.89999999999964
Jun 03-2013,15032.8,0.92,15164.2,15164.2,False,15164.2,15164.2,False,-42.0,65.70000000000073,332.60000000000036
Jun 04-2013,15169.35,0.91,15142.300000000001,15142.300000000001,False,4334.099999999999,15142.300000000001,False,284.0,-114.85000000000036,501.75
Jun 05-2013,15274.7,0.69,15146.164285714287,15146.164285714287,False,7459.985714285714,15146.164285714287,False,-72.0,-129.75,300.0
Jun 06-2013,15200.6,-0.49,15162.23125,15162.23125,False,9671.589795918368,15162.23125,False,-40.0,-58.0,202.0
Jun 07-2013,14992.35,-1.37,15166.494444444446,15166.494444444446,False,11191.806997084548,15166.494444444446,False,49.899999999999636,180.0,431.89999999999964
Jun 10-2013,14752.35,-1.6,15149.080000000002,15149.080000000002,False,12209.104997917533,15149.080000000002,False,-149.89999999999964,207.0,489.0
Jun 11-2013,14460.2,-1.98,15113.01363636364,15113.01363636364,False,12852.274998512525,15113.01363636364,False,-490.2000000000007,366.0,364.7999999999993
Jun 12-2013,14677.7,1.5,15058.612500000003,15058.612500000003,False,13373.824998937518,15058.612500000003,False,55.650000000001455,-45.0,375.4500000000007
Jun 13-2013,14331.35,-2.36,15029.311538461541,15029.311538461541,False,13647.403570669656,15029.311538461541,False,-206.45000000000073,142.89999999999964,311.89999999999964
